,Player_Name,Rank,Kills,Deaths,Assists,Kill death difference,Kill death ratio,Average damage per round,Percentage of kills with a headshot,First kills of a round,First deaths of a round,First kills as a T,First deaths as a T,First kills as a CT,First deaths as a CT,Trade kills,Death was traded,Traded first kills,First deaths traded,Traded first kills as T,First deaths traded as T,Traded first kills as CT,First deaths traded as CT,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,2k,1k,"Percentage of rounds with a Kill, Assist, Survived or Death Traded",HLTV Rating 1.0,Top Starting Side,Round Winner,Match_id,map,date,VAC,Starting_Side,CT_round_diff,T_round_diff,Match_Result
852,Blhoux,,8,17,4,-9,0.5,67,25%,1,6,1,5,0,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6,53%,0.47,T,"['T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT']",7954095,de_mirage,31st Mar 2020 13:08:09,False,T,-4.0,-9.0,Loss
854,Cho,,5,19,2,-14,0.3,47,20%,2,4,1,2,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,42%,0.29,T,"['T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT']",7954095,de_mirage,31st Mar 2020 13:08:09,False,T,-4.0,-9.0,Loss
860,Blhoux,,28,15,7,13,1.9,112,39%,2,3,1,1,1,2,4,3,0,1,0,0,0,1,0,0,0,0,1,0,0,4,5,6,81%,1.63,T,"['CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T']",24644233,de_dust2,22nd Jan 2021 20:13:49,False,T,-7.0,13.0,Win
861,KoHo,,23,20,8,3,1.2,102,22%,5,5,5,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8,69%,1.22,T,"['CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T']",24644233,de_dust2,22nd Jan 2021 20:13:49,False,T,-7.0,13.0,Win
862,Cho,,15,13,3,2,1.2,71,60%,3,1,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,69%,1.02,T,"['CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T']",24644233,de_dust2,22nd Jan 2021 20:13:49,False,T,-7.0,13.0,Win
863,Kiwi,,14,17,0,-3,0.8,45,36%,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,54%,0.8,T,"['CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T']",24644233,de_dust2,22nd Jan 2021 20:13:49,False,T,-7.0,13.0,Win
864,WhiteFlag1940,,11,15,4,-4,0.7,51,55%,2,3,1,2,1,1,2,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,5,65%,0.77,T,"['CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T']",24644233,de_dust2,22nd Jan 2021 20:13:49,False,T,-7.0,13.0,Win
870,mini,,21,12,6,9,1.8,90,24%,3,1,1,1,2,0,2,5,2,0,2,0,0,0,0,0,0,1,1,0,1,1,3,8,86%,1.52,T,"['T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T']",21301215,de_dust2,4th Dec 2020 21:49:51,False,T,2.0,9.0,Win
871,Blhoux,,24,14,5,10,1.7,112,29%,6,1,5,1,1,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6,9,81%,1.48,T,"['T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T']",21301215,de_dust2,4th Dec 2020 21:49:51,False,T,2.0,9.0,Win
872,KoHo,,18,11,8,7,1.6,92,28%,2,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,86%,1.24,T,"['T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T']",21301215,de_dust2,4th Dec 2020 21:49:51,False,T,2.0,9.0,Win
873,Cho,,14,12,7,2,1.2,75,50%,3,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,9,71%,1.02,T,"['T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T']",21301215,de_dust2,4th Dec 2020 21:49:51,False,T,2.0,9.0,Win
874,Lucas,,14,14,6,0,1.0,79,79%,3,1,2,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,4,81%,0.97,T,"['T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T']",21301215,de_dust2,4th Dec 2020 21:49:51,False,T,2.0,9.0,Win
885,KoHo,,30,20,6,10,1.5,111,33%,9,2,5,1,4,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,13,83%,1.32,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT']",21301226,de_dust2,6th Dec 2020 21:15:49,False,CT,1.0,2.0,Win
886,Blhoux,,28,22,6,6,1.3,105,32%,5,4,3,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10,69%,1.32,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT']",21301226,de_dust2,6th Dec 2020 21:15:49,False,CT,1.0,2.0,Win
887,mini,,19,20,4,-1,1.0,67,26%,0,2,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,10,69%,0.92,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT']",21301226,de_dust2,6th Dec 2020 21:15:49,False,CT,1.0,2.0,Win
888,Cho,,14,20,2,-6,0.7,53,29%,1,2,0,0,1,2,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,6,66%,0.74,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT']",21301226,de_dust2,6th Dec 2020 21:15:49,False,CT,1.0,2.0,Win
889,Kiwi,,12,19,6,-7,0.6,52,33%,0,4,0,2,0,2,2,3,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,10,76%,0.65,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT']",21301226,de_dust2,6th Dec 2020 21:15:49,False,CT,1.0,2.0,Win
895,Blhoux,,30,16,2,14,1.9,101,23%,4,1,3,1,1,0,6,1,2,0,0,0,2,0,0,0,0,0,1,0,0,3,6,9,75%,1.56,T,"['CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT']",6743176,de_dust2,19th Feb 2020 20:30:41,False,CT,1.0,3.0,Win
905,Blhoux,,15,6,2,9,2.5,125,13%,4,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,71%,1.74,T,"['T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",6178396,de_cache,23rd Jan 2020 16:52:30,False,CT,6.0,,Unfinished
915,Lucas,,13,7,4,6,1.9,117,23%,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,92%,1.58,T,"['T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",9624490,de_inferno,1st May 2020 13:28:20,False,CT,4.0,,Unfinished
916,KoHo,,10,9,7,1,1.1,111,20%,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,92%,1.09,T,"['T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",9624490,de_inferno,1st May 2020 13:28:20,False,CT,4.0,,Unfinished
917,mini,,9,8,2,1,1.1,60,22%,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,83%,1.0,T,"['T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",9624490,de_inferno,1st May 2020 13:28:20,False,CT,4.0,,Unfinished
918,Blhoux,,9,8,4,1,1.1,93,33%,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,83%,0.95,T,"['T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",9624490,de_inferno,1st May 2020 13:28:20,False,CT,4.0,,Unfinished
919,Cho,,7,8,2,-1,0.9,55,29%,3,0,0,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,83%,0.81,T,"['T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",9624490,de_inferno,1st May 2020 13:28:20,False,CT,4.0,,Unfinished
920,Cho,,17,19,2,-2,0.9,97,29%,1,0,1,0,0,0,6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,10,59%,0.89,T,"['T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",11743305,de_dust2,14th Jun 2020 19:07:45,True,T,-5.0,-5.0,Loss
921,mini,,14,19,1,-5,0.7,52,36%,1,3,1,1,0,2,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,8,68%,0.72,T,"['T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",11743305,de_dust2,14th Jun 2020 19:07:45,True,T,-5.0,-5.0,Loss
922,Blhoux,,11,20,4,-9,0.6,59,45%,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,50%,0.6,T,"['T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",11743305,de_dust2,14th Jun 2020 19:07:45,True,T,-5.0,-5.0,Loss
923,KoHo,,12,21,8,-9,0.6,85,50%,2,3,2,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,68%,0.52,T,"['T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",11743305,de_dust2,14th Jun 2020 19:07:45,True,T,-5.0,-5.0,Loss
924,Lucas,,9,21,3,-12,0.4,64,56%,6,4,4,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,45%,0.41,T,"['T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT']",11743305,de_dust2,14th Jun 2020 19:07:45,True,T,-5.0,-5.0,Loss
930,Cho,,14,19,1,-5,0.7,68,21%,2,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,52%,0.83,T,"['T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT']",8129566,de_mirage,6th Apr 2020 16:13:07,False,T,0.0,-9.0,Loss
931,KoHo,,13,17,2,-4,0.8,56,54%,2,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,61%,0.74,T,"['T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT']",8129566,de_mirage,6th Apr 2020 16:13:07,False,T,0.0,-9.0,Loss
932,Lucas,,12,17,1,-5,0.7,66,50%,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,48%,0.72,T,"['T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT']",8129566,de_mirage,6th Apr 2020 16:13:07,False,T,0.0,-9.0,Loss
934,Blhoux,,11,19,5,-8,0.6,71,55%,1,3,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,57%,0.57,T,"['T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT']",8129566,de_mirage,6th Apr 2020 16:13:07,False,T,0.0,-9.0,Loss
945,KoHo,,23,16,9,7,1.4,106,22%,3,1,1,0,2,1,2,4,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,5,74%,1.3,T,"['T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT']",7954104,de_dust2,31st Mar 2020 13:43:21,True,CT,1.0,4.0,Win
946,Cho,,24,14,4,10,1.7,86,21%,5,2,2,1,3,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,12,78%,1.27,T,"['T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT']",7954104,de_dust2,31st Mar 2020 13:43:21,True,CT,1.0,4.0,Win
948,Blhoux,,19,19,5,0,1.0,70,21%,4,2,3,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,67%,0.92,T,"['T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT']",7954104,de_dust2,31st Mar 2020 13:43:21,True,CT,1.0,4.0,Win
956,Blhoux,,29,15,8,14,1.9,127,28%,3,2,2,1,1,1,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,3,6,8,92%,1.68,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT']",7953997,de_inferno,31st Mar 2020 19:14:01,False,CT,5.0,3.0,Win
957,mini,,20,15,2,5,1.3,76,25%,4,0,1,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,83%,1.2,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT']",7953997,de_inferno,31st Mar 2020 19:14:01,False,CT,5.0,3.0,Win
958,KoHo,,16,15,6,1,1.1,79,19%,5,3,0,0,5,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,79%,0.96,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT']",7953997,de_inferno,31st Mar 2020 19:14:01,False,CT,5.0,3.0,Win
959,Cho,,11,14,6,-3,0.8,74,36%,0,1,0,1,0,0,5,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,9,79%,0.75,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT']",7953997,de_inferno,31st Mar 2020 19:14:01,False,CT,5.0,3.0,Win
960,KoHo,,18,19,3,-1,0.9,95,28%,4,3,1,1,3,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,9,61%,0.95,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT']",6076623,de_cache,18th Jan 2020 17:10:42,False,T,-6.0,-3.0,Loss
961,Cho,,15,20,2,-5,0.8,63,47%,1,1,1,1,0,0,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,7,57%,0.83,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT']",6076623,de_cache,18th Jan 2020 17:10:42,False,T,-6.0,-3.0,Loss
962,Blhoux,,16,21,3,-5,0.8,76,56%,5,5,5,4,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,8,61%,0.75,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT']",6076623,de_cache,18th Jan 2020 17:10:42,False,T,-6.0,-3.0,Loss
964,mini,,12,19,3,-7,0.6,56,33%,0,2,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,57%,0.65,T,"['CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT']",6076623,de_cache,18th Jan 2020 17:10:42,False,T,-6.0,-3.0,Loss
970,Blhoux,,27,18,3,9,1.5,96,30%,5,1,3,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,10,73%,1.35,T,"['CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T']",6099577,de_mirage,19th Jan 2020 15:59:14,True,T,-3.0,3.0,Draw
971,KoHo,,26,20,4,6,1.3,81,35%,5,5,2,3,3,2,5,4,0,1,0,1,0,0,0,0,0,1,0,0,1,0,8,6,70%,1.27,T,"['CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T']",6099577,de_mirage,19th Jan 2020 15:59:14,True,T,-3.0,3.0,Draw
974,Cho,,12,23,9,-11,0.5,68,67%,4,3,1,1,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,67%,0.56,T,"['CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T']",6099577,de_mirage,19th Jan 2020 15:59:14,True,T,-3.0,3.0,Draw
981,Blhoux,,25,22,6,3,1.1,95,28%,3,4,1,3,2,1,2,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,7,11,76%,1.06,T,"['T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T']",6266315,de_dust2,27th Jan 2020 20:30:54,False,T,2.0,1.0,Win
982,Cho,,15,16,8,-1,0.9,59,33%,1,1,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10,72%,0.88,T,"['T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T']",6266315,de_dust2,27th Jan 2020 20:30:54,False,T,2.0,1.0,Win
983,KoHo,,20,21,4,-1,1.0,72,35%,4,3,2,1,2,2,1,3,0,2,0,1,0,1,0,0,0,0,1,0,0,0,4,12,69%,0.88,T,"['T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T']",6266315,de_dust2,27th Jan 2020 20:30:54,False,T,2.0,1.0,Win
996,Blhoux,,26,18,5,8,1.4,112,15%,6,4,2,4,4,0,2,5,0,3,0,3,0,0,0,0,0,0,0,0,0,2,4,12,96%,1.33,T,"['CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT']",11743308,de_inferno,13th Jun 2020 16:39:29,False,CT,9.0,-2.0,Win
997,KoHo,,22,15,4,7,1.5,85,45%,3,1,0,1,3,0,3,6,1,1,1,1,0,0,0,0,0,0,3,0,0,2,4,8,76%,1.29,T,"['CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT']",11743308,de_inferno,13th Jun 2020 16:39:29,False,CT,9.0,-2.0,Win
998,Lucas,,11,16,6,-5,0.7,61,45%,1,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,64%,0.71,T,"['CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT']",11743308,de_inferno,13th Jun 2020 16:39:29,False,CT,9.0,-2.0,Win
999,Cho,,13,18,8,-5,0.7,68,15%,0,0,0,0,0,0,5,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,76%,0.69,T,"['CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT']",11743308,de_inferno,13th Jun 2020 16:39:29,False,CT,9.0,-2.0,Win
1005,Blhoux,,21,18,4,3,1.2,94,43%,3,3,1,1,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,6,3,58%,1.23,T,"['CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T']",19690993,de_dust2,13th Nov 2020 22:32:46,False,CT,-5.0,-3.0,Loss
1006,mini,,21,20,1,1,1.1,87,52%,3,3,0,2,3,1,2,3,0,2,0,1,0,1,0,0,0,0,0,0,0,1,5,8,79%,1.06,T,"['CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T']",19690993,de_dust2,13th Nov 2020 22:32:46,False,CT,-5.0,-3.0,Loss
1007,Lucas,,16,23,6,-7,0.7,82,81%,0,3,0,2,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,7,50%,0.83,T,"['CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T']",19690993,de_dust2,13th Nov 2020 22:32:46,False,CT,-5.0,-3.0,Loss
1008,KoHo,,16,20,4,-4,0.8,79,38%,1,3,1,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,3,10,63%,0.77,T,"['CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T']",19690993,de_dust2,13th Nov 2020 22:32:46,False,CT,-5.0,-3.0,Loss
